Deformation,      Standard force,       Bending angle,Absolute crosshead t
4.166157245636e-01,  2.577046508789e+02,  1.063394659079e+00, -1.822695185961e+02
4.186185300350e-01,  2.588805847168e+02,  1.068518681692e+00, -1.822675157906e+02
4.206240773201e-01,  2.598924255371e+02,  1.073649832649e+00, -1.822655102433e+02
4.226237833500e-01,  2.610385437012e+02,  1.078766152070e+00, -1.822635105373e+02
4.242856502533e-01,  2.620817260742e+02,  1.083018183988e+00, -1.822618486704e+02
4.262890219688e-01,  2.631465454102e+02,  1.088144089610e+00, -1.822598452987e+02
4.282859861851e-01,  2.641954345703e+02,  1.093253713616e+00, -1.822578483345e+02
4.299465715885e-01,  2.652181701660e+02,  1.097502732359e+00, -1.822561877491e+02
4.319490492344e-01,  2.663158264160e+02,  1.102626670633e+00, -1.822541852714e+02
4.339444041252e-01,  2.673770141602e+02,  1.107732495874e+00, -1.822521899165e+02
4.356206059456e-01,  2.683913574219e+02,  1.112021741372e+00, -1.822505137147e+02
4.376185536385e-01,  2.694873657227e+02,  1.117134408470e+00, -1.822485157670e+02
4.396130144596e-01,  2.705685729980e+02,  1.122238265232e+00, -1.822465213062e+02
4.416102170944e-01,  2.716461791992e+02,  1.127349250887e+00, -1.822445241036e+02
4.432847499847e-01,  2.726640930176e+02,  1.131634588174e+00, -1.822428495707e+02
4.452854692936e-01,  2.738452148438e+02,  1.136754780737e+00, -1.822408488514e+02
4.472856521606e-01,  2.749643554688e+02,  1.141873713391e+00, -1.822388486685e+02
4.489500522614e-01,  2.759818115234e+02,  1.146133386005e+00, -1.822371842684e+02
4.509567320347e-01,  2.771648559570e+02,  1.151269153468e+00, -1.822351775886e+02
4.526234567165e-01,  2.782162475586e+02,  1.155534948062e+00, -1.822335108640e+02
4.546227455139e-01,  2.793501586914e+02,  1.160652006548e+00, -1.822315115752e+02
4.569531381130e-01,  2.805106506348e+02,  1.166616647467e+00, -1.822291811826e+02
4.589473605156e-01,  2.816535034180e+02,  1.171720982250e+00, -1.822271869602e+02
4.606116712093e-01,  2.827010803223e+02,  1.175980973609e+00, -1.822255226495e+02
4.626110494137e-01,  2.837197570801e+02,  1.181098711428e+00, -1.822235232713e+02
4.649493694305e-01,  2.848526916504e+02,  1.187084169647e+00, -1.822211849512e+02
4.666192531586e-01,  2.858623657227e+02,  1.191358708569e+00, -1.822195150675e+02
4.682783484459e-01,  2.868875732422e+02,  1.195605709284e+00, -1.822178559722e+02
4.702757298946e-01,  2.880331115723e+02,  1.200718767762e+00, -1.822158585908e+02
4.722822308540e-01,  2.892144775391e+02,  1.205855284322e+00, -1.822138520898e+02
4.742838442326e-01,  2.902368164063e+02,  1.210979402032e+00, -1.822118504764e+02
4.762914478779e-01,  2.913627014160e+02,  1.216118968197e+00, -1.822098428728e+02
4.779570996761e-01,  2.923646240234e+02,  1.220383206655e+00, -1.822081772210e+02
4.799585640430e-01,  2.935356750488e+02,  1.225507262926e+00, -1.822061757566e+02
4.822815656662e-01,  2.946978149414e+02,  1.231454645468e+00, -1.822038527550e+02
4.842800498009e-01,  2.957918090820e+02,  1.236571315247e+00, -1.822018542709e+02
4.859461188316e-01,  2.967993164063e+02,  1.240836996787e+00, -1.822001882018e+02
4.879482388496e-01,  2.978585815430e+02,  1.245963182154e+00, -1.821981860818e+02
4.899547696114e-01,  2.989456787109e+02,  1.251100773939e+00, -1.821961795511e+02
4.919469058514e-01,  3.000228271484e+02,  1.256201621623e+00, -1.821941874148e+02
4.939504563808e-01,  3.010523986816e+02,  1.261331808181e+00, -1.821921838643e+02
4.959426820278e-01,  3.021703186035e+02,  1.266433108874e+00, -1.821901916386e+02
4.982778131962e-01,  3.032669372559e+02,  1.272412596971e+00, -1.821878565075e+02
5.002841353416e-01,  3.042837524414e+02,  1.277550237951e+00, -1.821858501853e+02
5.019419193268e-01,  3.052958984375e+02,  1.281795453713e+00, -1.821841924013e+02
5.039475560188e-01,  3.063759460449e+02,  1.286931546187e+00, -1.821821867646e+02
5.059506297112e-01,  3.074362182617e+02,  1.292061188203e+00, -1.821801836910e+02
5.079550743103e-01,  3.085360412598e+02,  1.297194453932e+00, -1.821781792464e+02
5.099523663521e-01,  3.097186279297e+02,  1.302309514777e+00, -1.821761819543e+02
5.119556784630e-01,  3.107612609863e+02,  1.307440105699e+00, -1.821741786422e+02
5.139551758766e-01,  3.118250122070e+02,  1.312561039503e+00, -1.821721791448e+02
5.159493684769e-01,  3.129101867676e+02,  1.317668499053e+00, -1.821701849522e+02
5.176126956940e-01,  3.139786376953e+02,  1.321928642738e+00, -1.821685216250e+02
5.196134448051e-01,  3.150292663574e+02,  1.327053100502e+00, -1.821665208759e+02
5.219498276711e-01,  3.161544189453e+02,  1.333037349186e+00, -1.821641844930e+02
5.239533782005e-01,  3.171936035156e+02,  1.338169226439e+00, -1.821621809425e+02
5.256115794182e-01,  3.182815551758e+02,  1.342416614218e+00, -1.821605227412e+02
5.272810459137e-01,  3.193029785156e+02,  1.346692935408e+00, -1.821588532748e+02
5.292800664902e-01,  3.204281921387e+02,  1.351813508988e+00, -1.821568542542e+02
5.312821269035e-01,  3.215488586426e+02,  1.356941981746e+00, -1.821548521938e+02
5.332869887352e-01,  3.226507873535e+02,  1.362077743430e+00, -1.821528473319e+02
5.356264710426e-01,  3.238192443848e+02,  1.368070829605e+00, -1.821505078496e+02
5.376271009445e-01,  3.249057922363e+02,  1.373195994511e+00, -1.821485072197e+02
5.396212935448e-01,  3.260643615723e+02,  1.378304780335e+00, -1.821465130271e+02
5.416183471680e-01,  3.270948486328e+02,  1.383421007505e+00, -1.821445159735e+02
5.436163544655e-01,  3.281785278320e+02,  1.388539789916e+00, -1.821425179662e+02
5.456155538559e-01,  3.292342834473e+02,  1.393661738552e+00, -1.821405187668e+02
5.476183295250e-01,  3.302599487305e+02,  1.398792962083e+00, -1.821385159911e+02
