$C:\ProgramData\Zwick\testXpert III\data\Test Method\compression test RT_Copper_20012025.zs2
Pre-load                                25 N
Test speed                              1 mm/min
Type of compression modulus determinatioRegression
$
  Compressive strain;      Standard force;Absolute crosshead t
  8.844319730997e-02;  1.911758422852e+02; -7.628543205283e+01
  8.861133456230e-02;  1.930095672607e+02; -7.628526391557e+01
  8.877753466368e-02;  1.947998962402e+02; -7.628509771547e+01
  8.894249051809e-02;  1.966071777344e+02; -7.628493275962e+01
  8.911076188087e-02;  1.984515686035e+02; -7.628476448825e+01
  8.927688002586e-02;  2.002453918457e+02; -7.628459837011e+01
  8.944315463305e-02;  2.020114440918e+02; -7.628443209550e+01
  8.961338549852e-02;  2.038215026855e+02; -7.628426186464e+01
  8.977946639061e-02;  2.056355133057e+02; -7.628409578374e+01
  8.994611352682e-02;  2.074553527832e+02; -7.628392913661e+01
  9.011039882898e-02;  2.092350006104e+02; -7.628376485131e+01
  9.027479588985e-02;  2.110799102783e+02; -7.628360045425e+01
  9.043988585472e-02;  2.128927612305e+02; -7.628343536428e+01
  9.060920029879e-02;  2.147842712402e+02; -7.628326604984e+01
  9.077612310648e-02;  2.166572570801e+02; -7.628309912703e+01
  9.094340354204e-02;  2.185684661865e+02; -7.628293184659e+01
  9.111232310534e-02;  2.204715728760e+02; -7.628276292703e+01
  9.127779304981e-02;  2.223473052979e+02; -7.628259745709e+01
  9.144815802574e-02;  2.241926574707e+02; -7.628242709211e+01
  9.161224216223e-02;  2.260602416992e+02; -7.628226300797e+01
  9.177930653095e-02;  2.279710693359e+02; -7.628209594360e+01
  9.194637835026e-02;  2.298011932373e+02; -7.628192887178e+01
  9.211300313473e-02;  2.316390228271e+02; -7.628176224700e+01
  9.227602183819e-02;  2.335100555420e+02; -7.628159922830e+01
  9.244637936354e-02;  2.354058532715e+02; -7.628142887077e+01
  9.261421859264e-02;  2.372735290527e+02; -7.628126103154e+01
  9.277979284525e-02;  2.392106018066e+02; -7.628109545729e+01
  9.286139905453e-02;  2.402563934326e+02; -7.628101385108e+01
  9.302934259176e-02;  2.421283569336e+02; -7.628084590754e+01
  9.319369494915e-02;  2.440023193359e+02; -7.628068155519e+01
  9.327585250139e-02;  2.450222625732e+02; -7.628059939763e+01
  9.344496577978e-02;  2.468975219727e+02; -7.628043028436e+01
  9.361798316240e-02;  2.487859802246e+02; -7.628025726697e+01
  9.378173202276e-02;  2.506555938721e+02; -7.628009351811e+01
  9.386392682791e-02;  2.516593780518e+02; -7.628001132331e+01
  9.403119236231e-02;  2.535597381592e+02; -7.627984405777e+01
  9.419591724873e-02;  2.554288787842e+02; -7.627967933289e+01
  9.435798972845e-02;  2.573166198730e+02; -7.627951726041e+01
  9.453263133764e-02;  2.591459960938e+02; -7.627934261880e+01
  9.469735622406e-02;  2.609439086914e+02; -7.627917789391e+01
  9.486407786608e-02;  2.628307189941e+02; -7.627901117227e+01
  9.503410011530e-02;  2.646320190430e+02; -7.627884115002e+01
  9.519518166780e-02;  2.665326232910e+02; -7.627868006847e+01
  9.536161273718e-02;  2.684016723633e+02; -7.627851363740e+01
  9.552680701017e-02;  2.703720703125e+02; -7.627834844312e+01
  9.569370746613e-02;  2.722196350098e+02; -7.627818154267e+01
  9.586371481419e-02;  2.741842346191e+02; -7.627801153532e+01
  9.603062272072e-02;  2.760479125977e+02; -7.627784462741e+01
  9.619995206594e-02;  2.779575500488e+02; -7.627767529807e+01
  9.636550396681e-02;  2.799185791016e+02; -7.627750974617e+01
  9.652985632420e-02;  2.818185424805e+02; -7.627734539381e+01
  9.669567644596e-02;  2.836982727051e+02; -7.627717957369e+01
  9.686019271612e-02;  2.856155090332e+02; -7.627701505742e+01
  9.702705591917e-02;  2.874916992188e+02; -7.627684819422e+01
  9.719280898571e-02;  2.893703613281e+02; -7.627668244115e+01
  9.736052155495e-02;  2.913051147461e+02; -7.627651472858e+01
  9.752607345581e-02;  2.932911682129e+02; -7.627634917668e+01
  9.769238531590e-02;  2.952466125488e+02; -7.627618286482e+01
  9.777604043484e-02;  2.962847595215e+02; -7.627609920970e+01
