$C:\ProgramData\Zwick\testXpert III\data\Test Method\compression test RT_Copper_20012025.zs2
Pre-load                                25 N
Test speed                              1 mm/min
Type of compression modulus determinatioRegression
$
  Compressive strain;      Standard force;Absolute crosshead t
  9.649701416492e-02;  1.218673858643e+02; -7.620749401203e+01
  9.666174650192e-02;  1.229982299805e+02; -7.620732927970e+01
  9.683075547218e-02;  1.240801696777e+02; -7.620716027072e+01
  9.699326753616e-02;  1.252917938232e+02; -7.620699775866e+01
  9.716325253248e-02;  1.264197692871e+02; -7.620682777366e+01
  9.733106940985e-02;  1.275682754517e+02; -7.620665995679e+01
  9.749222546816e-02;  1.287158813477e+02; -7.620649880073e+01
  9.766413271427e-02;  1.299567871094e+02; -7.620632689348e+01
  9.783586859703e-02;  1.310455627441e+02; -7.620615515760e+01
  9.799743443727e-02;  1.321747741699e+02; -7.620599359176e+01
  9.816177189350e-02;  1.334393768311e+02; -7.620582925430e+01
  9.832973778248e-02;  1.346171417236e+02; -7.620566128841e+01
  9.849756956100e-02;  1.357742919922e+02; -7.620549345664e+01
  9.866233915091e-02;  1.370005187988e+02; -7.620532868705e+01
  9.882458299398e-02;  1.382402343750e+02; -7.620516644320e+01
  9.899116307497e-02;  1.393958129883e+02; -7.620499986312e+01
  9.915994852781e-02;  1.405305175781e+02; -7.620483107767e+01
  9.932664781809e-02;  1.417723846436e+02; -7.620466437838e+01
  9.949522465467e-02;  1.430653076172e+02; -7.620449580154e+01
  9.966098517179e-02;  1.443166809082e+02; -7.620433004103e+01
  9.982944279909e-02;  1.455195617676e+02; -7.620416158340e+01
  9.999413788319e-02;  1.467517547607e+02; -7.620399688831e+01
  1.001593098044e-01;  1.479852752686e+02; -7.620383171639e+01
  1.003286689520e-01;  1.491940155029e+02; -7.620366235725e+01
  1.005005985498e-01;  1.505040588379e+02; -7.620349042765e+01
  1.006642729044e-01;  1.517973327637e+02; -7.620332675329e+01
  1.008267179132e-01;  1.532750396729e+02; -7.620316430828e+01
  1.009956747293e-01;  1.546404418945e+02; -7.620299535147e+01
  1.011599376798e-01;  1.560824432373e+02; -7.620283108852e+01
  1.013249680400e-01;  1.574668579102e+02; -7.620266605816e+01
  1.014926806092e-01;  1.588644409180e+02; -7.620249834559e+01
  1.016613319516e-01;  1.602382202148e+02; -7.620232969425e+01
  1.018286943436e-01;  1.616842803955e+02; -7.620216233185e+01
  1.019966527820e-01;  1.631097106934e+02; -7.620199437342e+01
  1.021653637290e-01;  1.645301818848e+02; -7.620182566247e+01
  1.023276001215e-01;  1.660092315674e+02; -7.620166342608e+01
  1.024921387434e-01;  1.675034484863e+02; -7.620149888745e+01
  1.026605591178e-01;  1.689828033447e+02; -7.620133046708e+01
  1.028281599283e-01;  1.705968780518e+02; -7.620116286627e+01
  1.029957607388e-01;  1.722885437012e+02; -7.620099526546e+01
  1.031586676836e-01;  1.740928344727e+02; -7.620083235851e+01
  1.033214181662e-01;  1.757691650391e+02; -7.620066960803e+01
  1.034945026040e-01;  1.776482238770e+02; -7.620049652359e+01
  1.036593690515e-01;  1.795155944824e+02; -7.620033165715e+01
  1.038235947490e-01;  1.814286346436e+02; -7.620016743145e+01
  1.039909347892e-01;  1.833381958008e+02; -7.620000009141e+01
  1.041618660092e-01;  1.854185638428e+02; -7.619982916019e+01
  1.042466685176e-01;  1.864261932373e+02; -7.619974435768e+01
  1.043290421367e-01;  1.875187225342e+02; -7.619966198406e+01
  1.044088900089e-01;  1.886426849365e+02; -7.619958213619e+01
  1.044930145144e-01;  1.897484893799e+02; -7.619949801168e+01
  1.045741066337e-01;  1.908764648438e+02; -7.619941691956e+01
  1.046585962176e-01;  1.920523071289e+02; -7.619933242998e+01
  1.047454029322e-01;  1.932550201416e+02; -7.619924562326e+01
